CustomerName,Phone,SalesPerson
Mr.Gee,245-555-0173,adventure-works\pamela0
Mr.Harris,170-555-0127,adventure-works\david8
Ms.Carreras,279-555-0130,adventure-works\jillian0
Ms.Gates,710-555-0173,adventure-works\jillian0
Mr.Harrington,828-555-0186,adventure-works\shu0
Ms.Carroll,244-555-0112,adventure-works\linda3
Mr.Gash,192-555-0173,adventure-works\shu0
Ms.Garza,150-555-0127,adventure-works\josé1
Ms.Harding,926-555-0159,adventure-works\josé1
Mr.Caprio,112-555-0191,adventure-works\garrett1
Mr.Beck,1 (11) 500 555-0132,adventure-works\jae0
Mr.Liu,440-555-0132,adventure-works\michael9
Mr.Beaver,521-555-0195,adventure-works\pamela0
Ms.Handley,582-555-0113,adventure-works\david8
,928-555-0116,adventure-works\jillian0
Ms.Burnett,121-555-0121,adventure-works\jillian0
Mr.Hanif,216-555-0122,adventure-works\shu0
Mr.Liu,926-555-0164,adventure-works\linda3
Mr.Blanton,357-555-0161,adventure-works\shu0
Ms.Blackwell,972-555-0163,adventure-works\josé1
Mr.Hamilton,344-555-0144,adventure-works\josé1
Mr.Logan,783-555-0110,adventure-works\garrett1
Ms.German,1 (11) 500 555-0181,adventure-works\jae0
Mr.Geist,724-555-0161,adventure-works\pamela0
Ms.Haines,867-555-0114,adventure-works\david8
Ms.Looney,377-555-0132,adventure-works\jillian0
Mr.Gehring,417-555-0182,adventure-works\jillian0
Ms.Hagens,244-555-0127,adventure-works\shu0
Mr.Los,911-555-0165,adventure-works\linda3
Ms.Leavitt,482-555-0174,adventure-works\shu0
Mr.Lawrence,653-555-0159,adventure-works\josé1
Ms.Haemon,141-555-0172,adventure-works\josé1
Ms.Lucerne,164-555-0118,adventure-works\garrett1
Ms.Laszlo,1 (11) 500 555-0155,adventure-works\jae0
Mr.Lang,932-555-0163,adventure-works\pamela0
Mr.Groth,461-555-0118,adventure-works\david8
Ms.Lundahl,260-555-0130,adventure-works\jillian0
Mr.Kurniawan,436-555-0160,adventure-works\jillian0
Mr.Groncki,385-555-0140,adventure-works\shu0
Mr.Lunt,183-555-0111,adventure-works\linda3
Mr.Kurtz,452-555-0179,adventure-works\shu0
Mr.Kuppa,290-555-0196,adventure-works\josé1
Ms.Greer,737-555-0163,adventure-works\josé1
Mr.Deborde,394-555-0176,adventure-works\garrett1
Mr.Kumar,1 (11) 500 555-0122,adventure-works\jae0
Ms.Krupka,107-555-0132,adventure-works\pamela0
Mr.Bright,162-555-0166,adventure-works\david8
Ms.Delaney,358-555-0188,adventure-works\jillian0
Mr.Krow,265-555-0190,adventure-works\jillian0
Mr.Brundage,128-555-0148,adventure-works\shu0
Mr.Delmarco,819-555-0186,adventure-works\linda3
Mr.Kennedy,996-555-0192,adventure-works\shu0
Mr.Kramer,814-555-0130,adventure-works\josé1
Mr.Brumfield,644-555-0114,adventure-works\josé1
Ms.Demott Jr,752-555-0185,adventure-works\garrett1
Ms.Kotc,1 (11) 500 555-0173,adventure-works\jae0
Ms.Koski,810-555-0198,adventure-works\pamela0
Ms.Carmody,646-555-0137,adventure-works\david8
Mr.Desai,138-555-0156,adventure-works\jillian0
Mr.Konersmann,556-555-0192,adventure-works\jillian0
Ms.Carmichael,716-555-0167,adventure-works\shu0
Ms.Lepro,354-555-0130,adventure-works\linda3
Mr.Kogan,136-555-0134,adventure-works\shu0
Mr.King,979-555-0163,adventure-works\josé1
Mr.Conner,383-555-0111,adventure-works\josé1
Ms.Leste,493-555-0134,adventure-works\garrett1
Ms.Thomsen,1 (11) 500 555-0120,adventure-works\jae0
Mr.Thompson,247-555-0197,adventure-works\pamela0
Ms.Thompson,464-555-0188,adventure-works\david8
Mr.Colvin,119-555-0144,adventure-works\jillian0
Ms.Lewin,803-555-0116,adventure-works\jillian0
Mr.Thompson,273-555-0111,adventure-works\shu0
Mr.Colon,397-555-0144,adventure-works\linda3
Mr.Li,699-555-0183,adventure-works\shu0
Mr.Li,316-555-0138,adventure-works\josé1
Ms.Thomas,667-555-0112,adventure-works\josé1
Mr.Coleman,292-555-0128,adventure-works\garrett1
Ms.Li,1 (11) 500 555-0176,adventure-works\jae0
Mr.Lique,119-555-0195,adventure-works\pamela0
Ms.Thames,799-555-0118,adventure-works\david8
Ms.Coffman,426-555-0181,adventure-works\jillian0
Mr.Lisboa,380-555-0116,adventure-works\jillian0
Ms.Tench,785-555-0163,adventure-works\shu0
Ms.Cobb,661-555-0168,adventure-works\linda3
Mr.Graff,132-555-0150,adventure-works\shu0
Mr.Graham,674-555-0187,adventure-works\josé1
,257-555-0119,adventure-works\josé1
Ms.Clayton,206-555-0195,adventure-works\garrett1
Mr.Grande,1 (11) 500 555-0114,adventure-works\jae0
Mr.Bremer,962-555-0166,adventure-works\pamela0
Mr.Bready,340-555-0131,adventure-works\david8
Ms.Clark,221-555-0141,adventure-works\jillian0
Mr.Brewer,494-555-0134,adventure-works\jillian0
Mr.Brandon,229-555-0114,adventure-works\shu0
Ms.Christie,927-555-0198,adventure-works\linda3
Mr.Brian,163-555-0155,adventure-works\shu0
Mr.Carlisle,193-555-0116,adventure-works\josé1
Mr.Castellucio,180-555-0114,adventure-works\josé1
Mr.Bowman,844-555-0112,adventure-works\garrett1
Ms.Cavendish,1 (11) 500 555-0178,adventure-works\jae0
Mr.Cencini,644-555-0111,adventure-works\pamela0
Ms.Dodd,706-555-0140,adventure-works\david8
Mr.Boseman,383-555-0117,adventure-works\jillian0
Ms.Cereghino,351-555-0131,adventure-works\jillian0
Mr.Dockter,156-555-0187,adventure-works\shu0
Sr.Bonifaz,688-555-0113,adventure-works\linda3
Ms.Diaz,147-555-0192,adventure-works\shu0
Ms.Dickmann,835-555-0116,adventure-works\josé1
Mr.Dillon,722-555-0169,adventure-works\josé1
Mr.Bohling,838-555-0147,adventure-works\garrett1
Mr.Dievendorff,1 (11) 500 555-0193,adventure-works\jae0
Ms.Chesnut,264-555-0164,adventure-works\michael9
Mr.Lee,396-555-0139,adventure-works\pamela0
Mr.Alan,156-555-0126,adventure-works\david8
Mr.Cheng,344-555-0181,adventure-works\jillian0
Ms.Lee,306-555-0166,adventure-works\jillian0
Mr.Kaliyath,495-555-0113,adventure-works\shu0
Mr.Chow,789-555-0184,adventure-works\linda3
Mr.Campbell,491-555-0132,adventure-works\shu0
Mr.Lee,371-555-0112,adventure-works\josé1
Ms.Kitt,303-555-0117,adventure-works\josé1
Mr.Chen,117-555-0173,adventure-works\garrett1
Ms.Lenehan,1 (11) 500 555-0126,adventure-works\jae0
Ms.Krane,224-555-0126,adventure-works\michael9
Mr.Benson,528-555-0183,adventure-works\michael9
Mr.Lengel,947-555-0143,adventure-works\pamela0
Ms.Justice,170-555-0189,adventure-works\david8
Ms.Benson,789-555-0189,adventure-works\jillian0
,645-555-0193,adventure-works\jillian0
Ms.Jordan,207-555-0129,adventure-works\shu0
Mr.Ben-Sachar,973-555-0112,adventure-works\linda3
Mr.Mart¡nez,171-555-0147,adventure-works\shu0
Mr.Masters,154-555-0115,adventure-works\josé1
Mr.Jones,595-555-0131,adventure-works\josé1
Mr.Barnhill,584-555-0192,adventure-works\garrett1
Ms.Maxham,1 (11) 500 555-0175,adventure-works\jae0
Mr.Maxwell,642-555-0187,adventure-works\pamela0
Mr.Johnson,476-555-0139,adventure-works\david8
Mr.Johnson,320-555-0134,adventure-works\jillian0
Mr.Brown,575-555-0189,adventure-works\jillian0
Ms.Maynard,993-555-0179,adventure-works\shu0
Mr.Johnson,858-555-0140,adventure-works\linda3
Ms.Jarvis,458-555-0179,adventure-works\shu0
Ms.Johns,103-555-0151,adventure-works\josé1
Ms.McGuigan,431-555-0153,adventure-works\josé1
Ms.Johnson,356-555-0190,adventure-works\garrett1
Mr.Jaffe,1 (11) 500 555-0140,adventure-works\jae0
Ms.Alexander,344-555-0133,adventure-works\pamela0
Ms.McCarthy,173-555-0151,adventure-works\david8
Ms.Browning,658-555-0146,adventure-works\jillian0
Ms.Jacobson,652-555-0189,adventure-works\jillian0
Ms.McCarty,529-555-0195,adventure-works\shu0
Mr.Valerio,103-555-0179,adventure-works\linda3
Mr.Jacobsen,703-555-0120,adventure-works\shu0
Mr.Jacobs,697-555-0131,adventure-works\josé1
Mr.McCoy,191-555-0151,adventure-works\josé1
Ms.Valle,481-555-0131,adventure-works\garrett1
Ms.Ison,1 (11) 500 555-0127,adventure-works\jae0
Mr.Ismert,116-555-0163,adventure-works\pamela0
Mr.Bernacchi,449-555-0176,adventure-works\david8
Mr.Uppal,184-555-0187,adventure-works\jillian0
Mr.Irwin,367-555-0124,adventure-works\jillian0
Mr.Berndt,384-555-0169,adventure-works\shu0
Mr.Uddin,767-555-0193,adventure-works\linda3
Mr.Iallo,199-555-0135,adventure-works\shu0
Ms.Inghram,718-555-0152,adventure-works\josé1
Mr.Burnett,251-555-0172,adventure-works\josé1
Ms.Tuffield,277-555-0182,adventure-works\garrett1
Mr.Byham,1 (11) 500 555-0138,adventure-works\jae0
Mr.Bustamante,164-555-0147,adventure-works\pamela0
Mr.Campen,635-555-0126,adventure-works\david8
Ms.Trujillo,686-555-0180,adventure-works\jillian0
Ms.Gilliat,521-555-0183,adventure-works\jillian0
Mr.Cannon,118-555-0131,adventure-works\shu0
Mr.Troyer,308-555-0175,adventure-works\linda3
Mr.Gilbert,583-555-0198,adventure-works\shu0
Mr.Giglio,692-555-0136,adventure-works\josé1
Ms.Canuto,990-555-0141,adventure-works\josé1
Mr.Trent,882-555-0115,adventure-works\garrett1
Mr.Giakoumakis,1 (11) 500 555-0169,adventure-works\jae0
Mr.Culbertson,859-555-0173,adventure-works\michael9
Mr.Barker,241-555-0112,adventure-works\michael9
Ms.Bockenkamp,763-555-0145,adventure-works\pamela0
Mr.Culp,119-555-0167,adventure-works\david8
Mr.Banack,640-555-0189,adventure-works\jillian0
Mr.Blythe,126-555-0172,adventure-works\jillian0
Mr.Cunningham,115-555-0113,adventure-works\shu0
Mr.Baltazar,780-555-0114,adventure-works\linda3
Mr.Mitzner,129-555-0164,adventure-works\shu0
Mr.Mitosinka,239-555-0198,adventure-works\josé1
Mr.D'Hers,680-555-0192,adventure-works\josé1
Mr.Blanco,221-555-0167,adventure-works\garrett1
Ms.Mitchell,1 (11) 500 555-0182,adventure-works\jae0
Mr.Ayers,818-555-0171,adventure-works\michael9
Ms.Mitchell,992-555-0134,adventure-works\pamela0
Ms.Davis,839-555-0198,adventure-works\david8
Mr.Arthur,149-555-0113,adventure-works\jillian0
Mr.Miller,118-555-0184,adventure-works\jillian0
Sr.De Matos Miranda Filho,551-555-0155,adventure-works\shu0
Mr.Armstrong,226-555-0146,adventure-works\linda3
Mr.Miller,140-555-0192,adventure-works\shu0
Mr.Miller,207-555-0167,adventure-works\josé1
Mr.Dean,767-555-0151,adventure-works\josé1
Ms.Beebe,277-555-0169,adventure-works\garrett1
Mr.Miller,1 (11) 500 555-0176,adventure-works\jae0
Mr.Brown,689-555-0130,adventure-works\michael9
Ms.Miller,918-555-0127,adventure-works\pamela0
Mr.Gode,164-555-0145,adventure-works\david8
Ms.Vicknair,695-555-0158,adventure-works\jillian0
Mr.Vessa,560-555-0171,adventure-works\jillian0
,795-555-0116,adventure-works\shu0
Mr.Goktepe,637-555-0120,adventure-works\linda3
Ms.Vernon,433-555-0168,adventure-works\shu0
Ms.Verdad,155-555-0140,adventure-works\josé1
Mr.Berger,156-555-0111,adventure-works\josé1
Mr.Goldstein,495-555-0161,adventure-works\garrett1
Mr.Venugopal,1 (11) 500 555-0195,adventure-works\jae0
Ms.Vasquez,490-555-0132,adventure-works\pamela0
Ms.Burkhardt,652-555-0132,adventure-works\david8
Ms.Gonzalez,121-555-0139,adventure-works\jillian0
Mr.Varkey Chudukatil,810-555-0160,adventure-works\jillian0
Ms.Burkhardt,857-555-0187,adventure-works\shu0
Mr.Alpuerto,855-555-0174,adventure-works\linda3
Mr.Vargas,112-555-0176,adventure-works\shu0
Mr.Kim,155-555-0149,adventure-works\josé1
Ms.Campbell,700-555-0155,adventure-works\josé1
Mr.Amland,614-555-0134,adventure-works\garrett1
Mr.Kim,1 (11) 500 555-0144,adventure-works\jae0
Ms.Antrim,327-555-0148,adventure-works\michael9
Ms.Khanna,390-555-0150,adventure-works\pamela0
Ms.Crow,889-555-0176,adventure-works\david8
Mr.Ashton,556-555-0145,adventure-works\jillian0
Mr.Khan,249-555-0179,adventure-works\jillian0
Mr.Creasey,539-555-0182,adventure-works\shu0
Ms.Atkinson,129-555-0110,adventure-works\linda3
Ms.Khan,145-555-0166,adventure-works\shu0
Ms.Keyser,656-555-0173,adventure-works\josé1
Mr.Costa Da Silva,140-555-0143,adventure-works\josé1
Ms.Swan,421-555-0192,adventure-works\garrett1
Ms.Kesslep,1 (11) 500 555-0146,adventure-works\jae0
Mr.Coriell,941-555-0155,adventure-works\michael9
Mr.Kennedy,275-555-0179,adventure-works\pamela0
Ms.Corets,542-555-0164,adventure-works\david8
Ms.Taft-Rider,145-555-0194,adventure-works\jillian0
Mr.Kelly,510-555-0123,adventure-works\jillian0
Mr.Cooper,773-555-0182,adventure-works\shu0
Mr.Tatman,787-555-0128,adventure-works\linda3
Mr.Kelly,330-555-0116,adventure-works\shu0
Mr.Kelley,112-555-0195,adventure-works\josé1
Ms.Contreras,428-555-0176,adventure-works\josé1
Mr.Taylor,204-555-0189,adventure-works\garrett1
Ms.Kearney,1 (11) 500 555-0116,adventure-works\jae0
Ms.Brunner,249-555-0172,adventure-works\michael9
Mr.Katyal,928-555-0117,adventure-works\pamela0
Ms.Bruner,383-555-0155,adventure-works\david8
Mr.Tedford,588-555-0128,adventure-works\jillian0
Mr.Houston,632-555-0171,adventure-works\jillian0
Mr.Johnston,883-555-0177,adventure-works\shu0
Ms.Berch,640-555-0198,adventure-works\linda3
Ms.Holman,996-555-0196,adventure-works\shu0
Mr.Holmes,570-555-0199,adventure-works\josé1
Mr.Avalos,665-555-0198,adventure-works\josé1
Mr.Berger,519-555-0151,adventure-works\garrett1
Ms.Holloway,1 (11) 500 555-0181,adventure-works\jae0
Mr.Chapman,708-555-0169,adventure-works\pamela0
Ms.Barbariol,134-555-0182,adventure-works\david8
Ms.Choin,273-555-0181,adventure-works\jillian0
Mr.Chapla,223-555-0184,adventure-works\jillian0
Mr.Banks,816-555-0118,adventure-works\shu0
Mr.Chor,429-555-0145,adventure-works\linda3
Mr.Chandler,448-555-0179,adventure-works\shu0
Mr.Bowen,371-555-0143,adventure-works\josé1
Mr.Jiang,910-555-0116,adventure-works\josé1
Mr.Bruno,817-555-0114,adventure-works\garrett1
Sr.Camargo,1 (11) 500 555-0118,adventure-works\jae0
Mr.Baldwin,583-555-0130,adventure-works\michael9
Ms.Camacho,827-555-0143,adventure-works\pamela0
Mr.Bailey,234-555-0112,adventure-works\david8
Ms.Elliott,847-555-0151,adventure-works\jillian0
Ms.Calone,145-555-0152,adventure-works\jillian0
Ms.Burke,148-555-0149,adventure-works\shu0
Mr.Booth,121-555-0157,adventure-works\linda3
Ms.Elliott,425-555-0158,adventure-works\shu0
Ms.Elson,185-555-0190,adventure-works\josé1
Sra.Bueno,476-555-0184,adventure-works\josé1
Mr.Beasley,396-555-0187,adventure-works\garrett1
Mr.Eminhizer,1 (11) 500 555-0176,adventure-works\jae0
Mr.Emory,691-555-0149,adventure-works\pamela0
Ms.Trau,398-555-0167,adventure-works\david8
Mr.Ganio,672-555-0112,adventure-works\jillian0
Ms.Erickson,834-555-0132,adventure-works\jillian0
Mr.Tran,740-555-0159,adventure-works\shu0
Mr.Galos,912-555-0149,adventure-works\linda3
Mr.Erickson,962-555-0112,adventure-works\shu0
Ms.Espinoza,753-555-0179,adventure-works\josé1
Mr.Track,907-555-0170,adventure-works\josé1
Mr.Gage,962-555-0175,adventure-works\garrett1
