customerId,PrimaryContact
1,"  245-555-0173"
2,keith0@adventure-works.com 170-555-0127
3,donna0@adventure-works.com 279-555-0130
4,janet1@adventure-works.com 710-555-0173
5,lucy0@adventure-works.com 828-555-0186
6,rosmarie0@adventure-works.com 244-555-0112
7,dominic0@adventure-works.com 192-555-0173
10,kathleen0@adventure-works.com 150-555-0127
11,katherine0@adventure-works.com 926-555-0159
12,johnny0@adventure-works.com 112-555-0191
16,christopher1@adventure-works.com 1 (11) 500 555-0132
18,david20@adventure-works.com 440-555-0132
19,john8@adventure-works.com 521-555-0195
20,jean1@adventure-works.com 582-555-0113
21,jinghao1@adventure-works.com 928-555-0116
22,"  121-555-0121"
23,kerim0@adventure-works.com 216-555-0122
24,kevin5@adventure-works.com 926-555-0164
25,donald0@adventure-works.com 357-555-0161
28,jackie0@adventure-works.com 972-555-0163
29,"  344-555-0144"
30,todd0@adventure-works.com 783-555-0110
34,barbara4@adventure-works.com 1 (11) 500 555-0181
37,jim1@adventure-works.com 724-555-0161
38,betty0@adventure-works.com 867-555-0114
39,sharon2@adventure-works.com 377-555-0132
40,darren0@adventure-works.com 417-555-0182
41,erin1@adventure-works.com 244-555-0127
42,jeremy0@adventure-works.com 911-555-0165
43,"  482-555-0174"
46,david19@adventure-works.com 653-555-0159
47,hattie0@adventure-works.com 141-555-0172
48,anita0@adventure-works.com 164-555-0118
52,rebecca2@adventure-works.com 1 (11) 500 555-0155
55,eric6@adventure-works.com 932-555-0163
56,brian5@adventure-works.com 461-555-0118
57,"  260-555-0130"
58,peter4@adventure-works.com 436-555-0160
59,douglas2@adventure-works.com 385-555-0140
60,sean4@adventure-works.com 183-555-0111
61,jeffrey3@adventure-works.com 452-555-0179
64,"  290-555-0196"
65,jane2@adventure-works.com 737-555-0163
66,alexander1@adventure-works.com 394-555-0176
70,deepak0@adventure-works.com 1 (11) 500 555-0122
73,margaret1@adventure-works.com 107-555-0132
74,christopher2@adventure-works.com 162-555-0166
75,aidan0@adventure-works.com 358-555-0188
76,james11@adventure-works.com 265-555-0190
77,michael13@adventure-works.com 128-555-0148
78,"  819-555-0186"
79,mitch0@adventure-works.com 996-555-0192
82,james10@adventure-works.com 814-555-0130
83,eric3@adventure-works.com 644-555-0114
84,della0@adventure-works.com 752-555-0185
88,pamala0@adventure-works.com 1 (11) 500 555-0173
91,joy0@adventure-works.com 810-555-0198
92,"  646-555-0137"
93,prashanth0@adventure-works.com 138-555-0156
94,scott6@adventure-works.com 556-555-0192
95,jane0@adventure-works.com 716-555-0167
96,bonnie2@adventure-works.com 354-555-0130
97,eugene2@adventure-works.com 136-555-0134
100,kirk2@adventure-works.com 979-555-0163
101,william1@adventure-works.com 383-555-0111
102,linda7@adventure-works.com 493-555-0134
106,"  1 (11) 500 555-0120"
109,daniel2@adventure-works.com 247-555-0197
110,kendra0@adventure-works.com 464-555-0188
111,scott1@adventure-works.com 119-555-0144
112,elsie0@adventure-works.com 803-555-0116
113,"  273-555-0111"
114,john14@adventure-works.com 397-555-0144
115,george3@adventure-works.com 699-555-0183
118,yale0@adventure-works.com 316-555-0138
119,phyllis2@adventure-works.com 667-555-0112
120,"  292-555-0128"
124,yuhong1@adventure-works.com 1 (11) 500 555-0176
127,"  119-555-0195"
128,judy3@adventure-works.com 799-555-0118
129,connie0@adventure-works.com 426-555-0181
130,paulo0@adventure-works.com 380-555-0116
131,vanessa0@adventure-works.com 785-555-0163
132,teanna0@adventure-works.com 661-555-0168
133,michael16@adventure-works.com 132-555-0150
136,derek0@adventure-works.com 674-555-0187
137,gytis0@adventure-works.com 257-555-0119
138,jane1@adventure-works.com 206-555-0195
142,jon1@adventure-works.com 1 (11) 500 555-0114
145,ted0@adventure-works.com 962-555-0166
146,richard1@adventure-works.com 340-555-0131
147,alice1@adventure-works.com 221-555-0141
148,"  494-555-0134"
149,cornelius0@adventure-works.com 229-555-0114
150,jill1@adventure-works.com 927-555-0198
151,walter0@adventure-works.com 163-555-0155
154,carlton0@adventure-works.com 193-555-0116
155,"  180-555-0114"
156,lester0@adventure-works.com 844-555-0112
160,brigid0@adventure-works.com 1 (11) 500 555-0178
163,andrew2@adventure-works.com 644-555-0111
164,cindy0@adventure-works.com 706-555-0140
165,randall0@adventure-works.com 383-555-0117
166,stacey0@adventure-works.com 351-555-0131
167,blaine0@adventure-works.com 156-555-0187
168,luis0@adventure-works.com 688-555-0113
169,"  147-555-0192"
172,gabriele0@adventure-works.com 835-555-0116
173,rudolph0@adventure-works.com 722-555-0169
174,michael12@adventure-works.com 838-555-0147
178,dick1@adventure-works.com 1 (11) 500 555-0193
180,nicky0@adventure-works.com 264-555-0164
181,michael18@adventure-works.com 396-555-0139
182,stanley0@adventure-works.com 156-555-0126
183,"  344-555-0181"
184,marjorie0@adventure-works.com 306-555-0166
185,sandeep1@adventure-works.com 495-555-0113
186,pei0@adventure-works.com 789-555-0184
187,frank4@adventure-works.com 491-555-0132
190,"  371-555-0112"
191,sandra2@adventure-works.com 303-555-0117
192,hao1@adventure-works.com 117-555-0173
196,jolie0@adventure-works.com 1 (11) 500 555-0126
197,"  224-555-0126"
198,payton0@adventure-works.com 528-555-0183
199,roger1@adventure-works.com 947-555-0143
200,peggy0@adventure-works.com 170-555-0189
201,edna0@adventure-works.com 789-555-0189
202,a0@adventure-works.com 645-555-0193
203,jean3@adventure-works.com 207-555-0129
204,"  973-555-0112"
205,frank5@adventure-works.com 171-555-0147
208,steve2@adventure-works.com 154-555-0115
209,robert6@adventure-works.com 595-555-0131
210,josh0@adventure-works.com 584-555-0192
214,jennifer1@adventure-works.com 1 (11) 500 555-0175
217,chris6@adventure-works.com 642-555-0187
218,"  476-555-0139"
219,brian6@adventure-works.com 320-555-0134
220,robert5@adventure-works.com 575-555-0189
221,sandra4@adventure-works.com 993-555-0179
222,barry1@adventure-works.com 858-555-0140
223,joyce0@adventure-works.com 458-555-0179
226,vance0@adventure-works.com 103-555-0151
227,robin0@adventure-works.com 431-555-0153
228,danielle1@adventure-works.com 356-555-0190
232,"  1 (11) 500 555-0140"
235,mary7@adventure-works.com 344-555-0133
236,lola0@adventure-works.com 173-555-0151
237,mary5@adventure-works.com 658-555-0146
238,jodan0@adventure-works.com 652-555-0189
239,"  529-555-0195"
240,jessie0@adventure-works.com 103-555-0179
241,eric5@adventure-works.com 703-555-0120
244,bronson0@adventure-works.com 697-555-0131
245,james12@adventure-works.com 191-555-0151
246,"  481-555-0131"
250,denean0@adventure-works.com 1 (11) 500 555-0127
253,"  116-555-0163"
254,robert4@adventure-works.com 449-555-0176
255,sunil0@adventure-works.com 184-555-0187
256,richard4@adventure-works.com 367-555-0124
257,matthias1@adventure-works.com 384-555-0169
258,sairaj1@adventure-works.com 767-555-0193
259,lucio0@adventure-works.com 199-555-0135
262,beth0@adventure-works.com 718-555-0152
263,timothy0@adventure-works.com 251-555-0172
264,phyllis3@adventure-works.com 277-555-0182
268,richard2@adventure-works.com 1 (11) 500 555-0138
271,jared0@adventure-works.com 164-555-0147
272,henry0@adventure-works.com 635-555-0126
273,christie0@adventure-works.com 686-555-0180
274,"  521-555-0183"
275,chris5@adventure-works.com 118-555-0131
276,michaeljohn0@adventure-works.com 308-555-0175
277,guy0@adventure-works.com 583-555-0198
280,frances1@adventure-works.com 692-555-0136
281,"  990-555-0141"
282,billy0@adventure-works.com 882-555-0115
286,leo0@adventure-works.com 1 (11) 500 555-0169
287,grant1@adventure-works.com 859-555-0173
288,"  241-555-0112"
289,gabriel0@adventure-works.com 763-555-0145
290,scott3@adventure-works.com 119-555-0167
291,wayne0@adventure-works.com 640-555-0189
292,michael11@adventure-works.com 126-555-0172
293,conor0@adventure-works.com 115-555-0113
294,alberto0@adventure-works.com 780-555-0114
295,"  129-555-0164"
298,robert10@adventure-works.com 239-555-0198
299,thierry1@adventure-works.com 680-555-0192
300,daniel0@adventure-works.com 221-555-0167
304,linda9@adventure-works.com 1 (11) 500 555-0182
306,stephen1@adventure-works.com 818-555-0171
307,neva0@adventure-works.com 992-555-0134
308,megan1@adventure-works.com 839-555-0198
309,"  149-555-0113"
310,frank6@adventure-works.com 118-555-0184
311,alvaro0@adventure-works.com 551-555-0155
312,thomas1@adventure-works.com 226-555-0146
313,dylan1@adventure-works.com 140-555-0192
316,"  207-555-0167"
317,jacob0@adventure-works.com 767-555-0151
318,ann0@adventure-works.com 277-555-0169
322,matthew5@adventure-works.com 1 (11) 500 555-0176
323,"  689-555-0130"
325,virginia0@adventure-works.com 918-555-0127
326,scott4@adventure-works.com 164-555-0145
327,caroline0@adventure-works.com 695-555-0158
328,robert13@adventure-works.com 560-555-0171
329,andreas1@adventure-works.com 795-555-0116
330,"  637-555-0120"
331,wanda0@adventure-works.com 433-555-0168
334,dora0@adventure-works.com 155-555-0140
335,john10@adventure-works.com 156-555-0111
336,brian4@adventure-works.com 495-555-0161
340,raja0@adventure-works.com 1 (11) 500 555-0195
343,patricia2@adventure-works.com 490-555-0132
344,"  652-555-0132"
345,abigail0@adventure-works.com 121-555-0139
346,ranjit1@adventure-works.com 810-555-0160
347,ingrid0@adventure-works.com 857-555-0187
348,oscar0@adventure-works.com 855-555-0174
349,gary6@adventure-works.com 112-555-0176
352,shane2@adventure-works.com 155-555-0149
353,joan0@adventure-works.com 700-555-0155
354,maxwell0@adventure-works.com 614-555-0134
358,"  1 (11) 500 555-0144"
360,ramona0@adventure-works.com 327-555-0148
361,karan1@adventure-works.com 390-555-0150
362,sharon1@adventure-works.com 889-555-0176
363,chris3@adventure-works.com 556-555-0145
364,imtiaz0@adventure-works.com 249-555-0179
365,"  539-555-0182"
366,teresa0@adventure-works.com 129-555-0110
367,tammy0@adventure-works.com 145-555-0166
370,elizabeth2@adventure-works.com 656-555-0173
371,bruno0@adventure-works.com 140-555-0143
372,"  421-555-0192"
376,mary8@adventure-works.com 1 (11) 500 555-0146
377,marlin0@adventure-works.com 941-555-0155
379,"  275-555-0179"
380,eva0@adventure-works.com 542-555-0164
381,julie1@adventure-works.com 145-555-0194
382,robert7@adventure-works.com 510-555-0123
383,scott2@adventure-works.com 773-555-0182
384,clarence0@adventure-works.com 787-555-0128
385,john22@adventure-works.com 330-555-0116
388,victor0@adventure-works.com 112-555-0195
389,dorothy0@adventure-works.com 428-555-0176
390,mike6@adventure-works.com 204-555-0189
394,bonnie1@adventure-works.com 1 (11) 500 555-0116
395,june0@adventure-works.com 249-555-0172
397,sandeep2@adventure-works.com 928-555-0117
398,shirley0@adventure-works.com 383-555-0155
399,chad1@adventure-works.com 588-555-0128
400,"  632-555-0171"
401,tom1@adventure-works.com 883-555-0177
402,marian0@adventure-works.com 640-555-0198
403,juanita0@adventure-works.com 996-555-0196
406,eddie0@adventure-works.com 570-555-0199
407,"  665-555-0198"
408,alexander0@adventure-works.com 519-555-0151
